session_source,metric,count,mean,median,std,q25,q75,q90,q95
real,energy_kwh,9079,8.739173852568905,7.427,6.265099891858371,4.0515,13.109,14.360245999999998,17.592900000000004
real,dwell_hours,9079,5.6255689870396886,4.644444444444445,4.589523492725588,2.0093055555555557,8.678888888888888,10.519444444444442,12.395611111111112
real,arrival_hour,9079,12.980063883687631,15.0,7.00305498425949,6.0,17.0,21.0,22.0
real,sessions_per_day,142,63.936619718309856,69.5,19.5250704814628,48.25,78.0,87.0,89.0
real,requested_energy_per_day_kwh,142,558.7532352638949,584.0125,149.03937539833152,444.69475,671.9230253472223,728.3373137096772,752.12915
real,weekend_share,9079,0.18845687851084922,0.0,0.391076569808006,0.0,0.0,1.0,1.0
synthetic_empirical,energy_kwh,15194,8.36802059201627,7.188,5.870017369829152,3.859,12.797,13.951,16.18569999999997
synthetic_empirical,dwell_hours,15194,5.613222410848958,4.426944444444445,4.483034215550569,2.1062121212121214,8.55451388888889,10.420111111111112,12.302333333333307
synthetic_empirical,arrival_hour,15194,12.959786757930763,15.0,7.204740213176596,5.0,18.0,21.0,22.0
synthetic_empirical,sessions_per_day,114,133.28070175438597,102.0,83.24393542758807,79.25,183.0,251.80000000000007,302.19999999999993
synthetic_empirical,requested_energy_per_day_kwh,114,1115.2956567990807,857.0428048088299,698.9726967128614,658.8914588560341,1574.7653122677686,2130.5406765232947,2554.587202897688
synthetic_empirical,weekend_share,15194,0.28827168619191784,0.0,0.4529581891653867,0.0,1.0,1.0,1.0
